Title,Cover URL,Page URL,People,Date Complex,Date Simple,Duration,Intro,Notes
Filmbarátok Podcast #287,https://i1.sndcdn.com/artworks-mX5NBZyU4C9C78rl-ITTYHg-t500x500.png,https://soundcloud.com/filmbaratokpodcast/287a,Filmbarátok Podcast,2024-09-29T12:15:45.000Z,29 September 2024,2:30:45,"Filmbarátok Podcast #287 (Szeptember 2024) 151 perc
Beszélgetnek: Sorter, Gergő, freddyD
Téma: 
-Felvezető (00:00:00)
-Nép akarata sorsolás (00:04:07)...","Filmbarátok Podcast #287 (Szeptember 2024) 151 perc<br/>Beszélgetnek: Sorter, Gergő, freddyD<br/>Téma: <br/>-Felvezető (00:00:00)<br/>-Nép akarata sorsolás (00:04:07)<br/>-Borítóképek (00:08:00)<br/>-Villámkérdés (00:14:15)<br/>-aMItől félsz (00:49:30)<br/>-A tizedes meg a többiek (01:11:30)<br/>-Amerikai pite: Az esküvő (01:24:30)<br/>-A fiú [SPOILERES] (01:51:19)<br/>"
Filmbarátok Podcast #286,https://i1.sndcdn.com/artworks-GlMcymoBIP8vWzy2-Y0UW1A-t500x500.jpg,https://soundcloud.com/filmbaratokpodcast/286a,"Gábor, Sorter, Blacksheep, Gergő",2024-09-16T18:22:59.000Z,16 September 2024,3:58:02,"Filmbarátok Podcast #286 (Szeptember 2024) 238 perc
Beszélgetnek: Sorter, Blacksheep, Gergő, Gábor
Téma: 
-Felvezető (00:00:00)
-Nép akarata sorsolás ...","Filmbarátok Podcast #286 (Szeptember 2024) 238 perc<br/>Beszélgetnek: Sorter, Blacksheep, Gergő, Gábor<br/>Téma: <br/>-Felvezető (00:00:00)<br/>-Nép akarata sorsolás (00:03:33)<br/>-Villámkérdés (00:11:40)<br/>-Gábor CineFest beszámolója (00:38:40)<br/>-Vészjelzés (00:55:33)<br/>-Beetlejuice Beetlejuice (01:21:50)<br/>-A holló [2024] (02:02:00)<br/>-Rebel Ridge (02:44:10)<br/>-Amerikai Pite 2 (03:12:25)<br/>-Határok mentén (03:34:20)<br/>"
Filmbarátok Expressz: Cobra Kai 6. évad (1-5 rész),https://i1.sndcdn.com/artworks-3Skd6zT8ZPDijylB-OIESOQ-t500x500.jpg,https://soundcloud.com/filmbaratokpodcast/cobra_kai_6_1,"Krisztián, Shirin, freddyD",2024-09-12T16:02:17.000Z,12 September 2024,50:52,"Filmbarátok Expressz: Cobra Kai 6. évad (1-5. rész)
Krisztián, Shirin és Freddy ismét összeült, hogy kitárgyalják a Karate Kölyök franchise spin-off s...","Filmbarátok Expressz: Cobra Kai 6. évad (1-5. rész)<br/>Krisztián, Shirin és Freddy ismét összeült, hogy kitárgyalják a Karate Kölyök franchise spin-off sorozatát, amely nemrég visszatért a Netflixre egy új évaddal. 3x5 részre bontják a megjelenést, szóval mi elővettük annak első harmadát és kissé fásultan vettük tudomásul a látottakat.<br/>Az eddigi talán legjobb bunyós jelenet<br/><a href=""https://gate.sc?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3Dk7ricApag-w&amp;token=40e861-1-1734813351096"" rel=""nofollow ugc"" target=""_blank"" title=""https://www.youtube.com/watch?v=k7ricApag-w"">www.youtube.com/watch?v=k7ricApag-w</a><br/>"
Filmbarátok Podcast #285 (1999-es filmek),https://i1.sndcdn.com/artworks-KwPjwyzvsqqGhPdP-tFy5RQ-t500x500.jpg,https://soundcloud.com/filmbaratokpodcast/285a,"Blacksheep, Sorter, Gergő, freddyD",2024-08-30T21:00:18.000Z,30 August 2024,4:25:52,"Filmbarátok Podcast #286 (1999-es filmek) (Augusztus 2024) 266 perc
Beszélgetnek: Sorter, Blacksheep, Gergő, freddyD
Téma: 
-Felvezető (00:00:00)
-Bor...","Filmbarátok Podcast #286 (1999-es filmek) (Augusztus 2024) 266 perc<br/>Beszélgetnek: Sorter, Blacksheep, Gergő, freddyD<br/>Téma: <br/>-Felvezető (00:00:00)<br/>-Borítóképek (00:07:55)<br/>-Nép akarata sorsolás (00:16:30)<br/>-Villámkérdés (00:21:36)<br/>-A 13. emelet (00:26:33)<br/>-A 13. harcos (00:47:15)<br/>-A múmia (01:12:12)<br/>-Amerikai pite (01:41:39)<br/>-Meghallgatás (02:14:31)<br/>-Wild Wild West - Vadiúj vadnyugat (02:41:37)<br/>-1999-es filmeket amiket már kitárgyaltunk (03:04:48)<br/>-48 óra (03:17:05)<br/>-Alien: Romulus [SPOILERES](03:31:45)<br/>Csatolmányok:<br/>Anime borítós játékunk<br/><a href=""https://gate.sc?url=https%3A%2F%2Fyoutu.be%2F8fusGImO64o&amp;token=69b17a-1-1734813355386"" rel=""nofollow ugc"" target=""_blank"" title=""https://youtu.be/8fusGImO64o"">youtu.be/8fusGImO64o</a><br/>"
Filmbarátok Expressz: Sárkányok háza (2. évad),https://i1.sndcdn.com/artworks-H9Cvu3s0U8A4CruU-HuzhCg-t500x500.jpg,https://soundcloud.com/filmbaratokpodcast/sarkanyok_2,"Gábor, Shirin, Gergő",2024-08-24T14:17:55.000Z,24 August 2024,1:32:44,"Az (HBO) Max spin-off sorozatának második évada lényegesen vegyesebb fogadtatásban részesült, mint az első. Shirin, Gábor és Gergő ismét összeállt, ho...","Az (HBO) Max spin-off sorozatának második évada lényegesen vegyesebb fogadtatásban részesült, mint az első. Shirin, Gábor és Gergő ismét összeállt, hogy megvitassák, jogosak-e a kritikák, vagy ők továbbra is élvezték a látottakat.<br/>A Shirin által kreált képeket itt megtaláljátok<br/><a href=""https://gate.sc?url=https%3A%2F%2Fx.com%2FFilmbaratokPod%2Fstatus%2F1827350200903467471&amp;token=e20696-1-1734813359746"" rel=""nofollow ugc"" target=""_blank"" title=""https://x.com/FilmbaratokPod/status/1827350200903467471"">x.com/FilmbaratokPod/status/1827350200903467471</a><br/>A felvétel itt letölthető:<br/>Soundcloud link:<br/>Direkt link:<br/>"
Filmbarátok Expressz: Alienoid 2,https://i1.sndcdn.com/artworks-zh5FGaJcQ6Q5SeVV-stAV5w-t500x500.jpg,https://soundcloud.com/filmbaratokpodcast/alienoid2,"Blacksheep, freddyD",2024-08-19T18:50:37.000Z,19 August 2024,37:53,"Blacksheep és Freddy a felfoghatatlan dél-koreai Alienoid záró részét is megnézték és kitárgyalták, hogy folytatódik-e az az őrület, vagy kicsit vissz...","Blacksheep és Freddy a felfoghatatlan dél-koreai Alienoid záró részét is megnézték és kitárgyalták, hogy folytatódik-e az az őrület, vagy kicsit visszafogta-e magát a folytatás. Az első rész kibeszélőjét itt találjátok:<br/><a href=""https://gate.sc?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DfLgXm-yTEGg%26t%3D8450s&amp;token=de9030-1-1734813364098"" rel=""nofollow ugc"" target=""_blank"" title=""https://www.youtube.com/watch?v=fLgXm-yTEGg&amp;t=8450s"">www.youtube.com/watch?v=fLgXm-yTEGg&amp;t=8450s</a><br/>Meglehetősen nehéz az ilyen fajta filmet kitárgyalni, de megpróbáltuk, ahogy a rögzítés hosszán is látni.<br/>"
Filmbarátok Podcast #284,https://i1.sndcdn.com/artworks-FaFEy7nXkF8Xfx0I-9TqY1Q-t500x500.jpg,https://soundcloud.com/filmbaratokpodcast/284a,"Blacksheep, Sorter, Gergő, freddyD",2024-08-13T17:00:20.000Z,13 August 2024,3:58:44,"Filmbarátok Podcast #284 (Augusztus 2024) 239 perc
Beszélgetnek: Sorter, Blacksheep, Gergő, freddyD
Téma: 
-Felvezető (00:00:00)
-Nép akarata (00:08:5...","Filmbarátok Podcast #284 (Augusztus 2024) 239 perc<br/>Beszélgetnek: Sorter, Blacksheep, Gergő, freddyD<br/>Téma: <br/>-Felvezető (00:00:00)<br/>-Nép akarata (00:08:55)<br/>-Borítóképek (00:13:50)<br/>-90-es évek rovat (00:21:55)<br/>-Villámkérdések (00:32:10)<br/>-Longlegs - A rém (00:33:00)<br/>-Borderlands (01:14:57)<br/>-A felbujtók [The instigators] (01:41:00)<br/>-Penge (01:51:20)<br/>-Love Story (02:26:31)<br/>-A csapda [SPOILERES] (03:02:30)<br/>"
Filmbarátok Expressz: Cobra Kai (1-5. évad),https://i1.sndcdn.com/artworks-yEPJPrIOpMl1vVQb-1GugWA-t500x500.jpg,https://soundcloud.com/filmbaratokpodcast/cobrakai1_5,"Krisztián, Shirin, freddyD",2024-08-07T21:50:00.000Z,7 August 2024,1:24:07,"Egy hallgatónk, Krisztán közreműködésével Shirin és Freddy tárgyalják ki a közkedvelt neo-retró sorozat első öt évadát, mielőtt az utolsó hatodik évad...","Egy hallgatónk, Krisztán közreműködésével Shirin és Freddy tárgyalják ki a közkedvelt neo-retró sorozat első öt évadát, mielőtt az utolsó hatodik évadra rátérnének. Hogy működhet egyáltalán ez a sorozat, holott papíron nem szabadna? Mik az erősségei és gyenge pontjai? Ezekre próbátunk válaszokat találni<br/>Csatolmányok:<br/>Sweep the leg zeneklip (2007)<br/><a href=""https://gate.sc?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DfIODfJD50K0&amp;token=769f65-1-1734813372465"" rel=""nofollow ugc"" target=""_blank"" title=""https://www.youtube.com/watch?v=fIODfJD50K0"">www.youtube.com/watch?v=fIODfJD50K0</a><br/>Miyagi birtok forgatási helyszínről drónfelvétel:<br/><a href=""https://gate.sc?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DSIhxPYujWBc&amp;token=aee769-1-1734813372465"" rel=""nofollow ugc"" target=""_blank"" title=""https://www.youtube.com/watch?v=SIhxPYujWBc"">www.youtube.com/watch?v=SIhxPYujWBc</a><br/>Cobra Kai youtube csatorna sok jó tartalommal:<br/><a href=""https://gate.sc?url=https%3A%2F%2Fwww.youtube.com%2F%40cobrakai&amp;token=8ea253-1-1734813372465"" rel=""nofollow ugc"" target=""_blank"" title=""https://www.youtube.com/@cobrakai"">www.youtube.com/@cobrakai</a><br/>"
Filmbarátok Expressz: The boys (4. évad),https://i1.sndcdn.com/artworks-eJXM6xarVIMiM4az-LLDYQg-t500x500.jpg,https://soundcloud.com/filmbaratokpodcast/boys_4,"Shirin, Gergő",2024-08-04T13:00:10.000Z,4 August 2024,1:08:39,"Az Amazon sikersorozata elérkezett a negyedik évadához, ez épp elég apropó, hogy ismét összeálljon Gergő és Shirin, hogy megvitassák a látottakat. Min...","Az Amazon sikersorozata elérkezett a negyedik évadához, ez épp elég apropó, hogy ismét összeálljon Gergő és Shirin, hogy megvitassák a látottakat. Minden eddigi évad kibeszélője megtalálható a csatornánkon.<br/>"
Filmbarátok Podcast #283,https://i1.sndcdn.com/artworks-zyhcxEUCd775Qjv6-CqkHzQ-t500x500.jpg,https://soundcloud.com/filmbaratokpodcast/283a,"Sorter, Blacksheep, Gergő, freddyD",2024-08-01T19:00:20.000Z,1 August 2024,3:30:24,"Filmbarátok Podcast #283 (Július 2024) 210 perc
Beszélgetnek: Sorter, Blacksheep, Gergő, freddyD
Téma: 
-Felvezető (00:00:00)
-Borítóképek (00:08:05)
...","Filmbarátok Podcast #283 (Július 2024) 210 perc<br/>Beszélgetnek: Sorter, Blacksheep, Gergő, freddyD<br/>Téma: <br/>-Felvezető (00:00:00)<br/>-Borítóképek (00:08:05)<br/>-Nép akarata (00:09:47) <br/>-90-es évek rovat (00:16:00)<br/>-Villámkérdések (00:37:45)<br/>-Twisters (00:43:40)<br/>-Vigyél a holdra (01:07:00)<br/>-Kocka (01:20:00)<br/>-Unfriended: Dark Web (02:07:46)<br/>-Deadpool &amp; Rozsomák [SPOILERES] (02:33:22)<br/>"
